Gene	Matched_Count	Total_Count	Mismatches
KARS	0	92	KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,TERF2IP,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1,KARS1
SCGB2A1	6	6	None
MUC6	21	21	None
AIF1	23	23	None
UCP1	13	13	None
FSTL3	28	28	None
CCL8	6	6	None
IL2RA	68	135	LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573,LOC124902573
TRIB1	53	53	None
ANGPT2	78	156	MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1,MCPH1
TOMM7	22	22	None
TFAP2A	73	196	TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS2,TFAP2A-AS1,TFAP2A-AS1,TFAP2A-AS1,TFAP2A-AS1
TCF7	86	86	None
PPARG	140	237	CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132,CHS.166132
HOXD9	7	7	None
GNLY	25	28	GPR160P1,GPR160P1,GPR160P1
CENPF	52	130	ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13,ABHD17AP3,UBE2V1P13
CD79B	23	26	GH1,GH1,GH1
RTKN2	57	57	None
SRPK1	96	98	LHFPL5,LHFPL5
OXTR	10	10	None
SEC11C	51	51	None
CCPG1	130	540	MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,PIERCE2,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,MIR628,PIGB,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,MIR628,DNAAF4-CCPG1,DNAAF4-CCPG1,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,MIR628,LOC100420711,PIGB,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,LOC100420711,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,LOC100420711,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4,LOC100420711,PIERCE2,CHS.133727,DNAAF4-CCPG1,DNAAF4
CD9	34	34	None
C1QC	10	10	None
PDCD1LG2	20	40	LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114,LOC124902114
BASP1	21	50	MIR10522,RNA5SP180,DCAF13P2,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,BASP1-AS1,RNU6-1003P,RNU6-1003P,RNU6-1003P,RNU6-1003P,RNU6-1003P,RNU6-1003P,RNU6-1003P,RNU6-1003P
CDC42EP1	8	8	None
MYO5B	87	319	MYO5BP1,MYO5BP2,ADGRF5P1,FGF7P8,LERFS,FAM88B,MYO5BP2,ADGRF5P1,FGF7P8,LERFS,FAM88B,MYO5BP2,ADGRF5P1,FGF7P8,LERFS,FAM88B,MYO5BP2,ADGRF5P1,FGF7P8,LERFS,FAM88B,SCARNA17,SNHG22,ACAA2,SCARNA17,SNHG22,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,RNA5SP457,ADAD1P2,MIR4320,CHS.165447,SNHG22,LOC124904299,CHS.165446,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,RNA5SP457,SNHG22,LOC124904299,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,SNHG22,ADAD1P2,MIR4320,CHS.165447,CHS.165446
NDUFA4L2	7	12	SHMT2,SHMT2,SHMT2,SHMT2,SHMT2
SLC25A37	47	47	None
FLNB	165	547	CHS.166365,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,LOC124909485,CHS.166365,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1,LOC124909485,FLNB-AS1
